ϵͳSN 		�忨SN
KSE0294516	AKAY353291
KSE0294517	AKAY353292
KSE0294518	AKAY353290
KSE0294519	AKAY352699
KSE0294520	AKAY353595
KSE0294521	AKAY352185
KSE0294522	AKAY351446
KSE0294523	AKAY352828
KSE0294524	AKAY352700
KSE0294525	AKAY351447
KSE0294526	AKAY353783
KSE0294527	AKAY352013
KSE0294528	AKAY352012
KSE0294529	AKAY352781
KSE0294530	AKAY352782
KSE0294531	AKAY352780
KSE0294532	AKAY353787
KSE0294533	AKAY353786
KSE0294534	AKAY353199
KSE0294535	AKAY351461
KSE0294536	AKAY353743
KSE0294537	AKAY353745
KSE0294538	AKAY353744
KSE0293529	AKAY351590
KSE0293530	AKAY353761
KSE0293531	AKAY353784
KSE0293532	AKAY351589
KSE0293533	AKAY351585
KSE0293534	AKAY352925
KSE0293535	AKAY352941
KSE0293536	AKAY352906
KSE0293537	AKAY353114
KSE0293538	AKAY352949
KSE0293539	AKAY352519
KSE0293540	AKAY353041
KSE0293541	AKAY353732
KSE0293542	AKAY351826
KSE0293543	AKAY353683
KSE0293544	AKAY352101
KSE0293545	AKAY352098
KSE0293546	AKAY352099
KSE0293547	AKAY353722
KSE0293548	AKAY353685
KSE0293549	AKAY352835
KSE0293550	AKAY351591
KSE0293551	AKAY353541
KSE0293552	AKAY352938
KSE0293553	AKAY353116
KSE0293554	AKAY353701
KSE0293555	AKAY352916
KSE0293556	AKAY353702
KSE0293557	AKAY351329
KSE0293558	AKAY351330
KSE0293559	AKAY353771
KSE0293560	AKAY351834
KSE0293561	AKAY352811
KSE0293562	AKAY353597
KSE0293563	AKAY353006
KSE0293564	AKAY353537
KSE0293565	AKAY351998
KSE0293566	AKAY351584
KSE0293567	AKAY353396
KSE0293568	AKAY352926
KSE0293569	AKAY352931
KSE0293570	AKAY353296
KSE0293571	AKAY353760
KSE0293572	AKAY352520
KSE0293573	AKAY353497
KSE0293574	AKAY353662
KSE0293575	AKAY353664
KSE0293576	AKAY353720
KSE0293577	AKAY353719
KSE0293578	AKAY351326
KSE0293579	AKAY351422
KSE0293580	AKAY353543
KSE0293581	AKAY352387
KSE0293582	AKAY352396
KSE0293583	AKAY351489
KSE0293584	AKAY351896
KSE0293585	AKAY351897
KSE0293586	AKAY351606
KSE0293587	AKAY352218
KSE0293588	AKAY351451
KSE0293589	AKAY351641
KSE0293590	AKAY351559
KSE0293591	AKAY351553
KSE0293592	AKAY351576
KSE0293593	AKAY353005
KSE0293594	AKAY353535
KSE0293595	AKAY353539
KSE0293596	AKAY353656
KSE0293597	AKAY351460
KSE0293598	AKAY353691
KSE0293599	AKAY351809
KSE0293600	AKAY351531
KSE0293601	AKAY351537
KSE0293602	AKAY351906
KSE0293603	AKAY351904
KSE0293604	AKAY353534
KSE0293605	AKAY353415
KSE0293606	AKAY352374
KSE0293607	AKAY352360
KSE0293608	AKAY353653
KSE0293609	AKAY352388
KSE0293610	AKAY352392
KSE0293611	AKAY352397
KSE0293612	AKAY353454
KSE0293613	AKAY351895
KSE0293614	AKAY351612
KSE0293615	AKAY351574
KSE0293616	AKAY352217
KSE0293617	AKAY353307
KSE0293618	AKAY351608
KSE0293619	AKAY351604
KSE0293620	AKAY351560
KSE0293621	AKAY351453
KSE0293622	AKAY353692
KSE0293623	AKAY351726
KSE0293624	AKAY352281
KSE0293625	AKAY352775
KSE0293626	AKAY351462
KSE0293627	AKAY353788
KSE0293628	AKAY351540
KSE0293629	AKAY353747
KSE0293630	AKAY353121
KSE0293631	AKAY352015
KSE0293632	AKAY352943
KSE0293633	AKAY353445
KSE0293634	AKAY352375
KSE0293635	AKAY352355
KSE0293636	AKAY351807
KSE0293637	AKAY352391
KSE0293638	AKAY352656
KSE0293639	AKAY352380
KSE0293640	AKAY352379
KSE0293641	AKAY353452
KSE0293642	AKAY353453
KSE0293643	AKAY351607
KSE0293644	AKAY351605
KSE0293645	AKAY352212
KSE0293646	AKAY352215
KSE0293647	AKAY351578
KSE0293648	AKAY351557
KSE0293649	AKAY351561
KSE0293650	AKAY352216
KSE0293651	AKAY351613
KSE0293652	AKAY353185
KSE0293653	AKAY352279
KSE0293654	AKAY352776
KSE0293655	AKAY351845
KSE0293656	AKAY353773
KSE0293657	AKAY351539
KSE0293658	AKAY351538
KSE0293659	AKAY351535
KSE0293660	AKAY352004
KSE0293661	AKAY353663
KSE0293662	AKAY353413
KSE0293663	AKAY352377
KSE0293664	AKAY352356
KSE0293665	AKAY352362
KSE0293666	AKAY352361
KSE0293667	AKAY352653
KSE0293668	AKAY353568
KSE0293669	AKAY352754
KSE0293670	AKAY353687
KSE0293671	AKAY352130
KSE0293672	AKAY351550
KSE0293673	AKAY353038
KSE0293674	AKAY353026
KSE0293675	AKAY352273
KSE0293676	AKAY352694
KSE0293677	AKAY352183
KSE0293678	AKAY351494
KSE0293679	AKAY353465
KSE0293680	AKAY353740
KSE0293681	AKAY351620
KSE0293682	AKAY352951
KSE0293683	AKAY351671
KSE0293684	AKAY353723
KSE0293685	AKAY353713
KSE0293686	AKAY352189
KSE0293687	AKAY352664
KSE0293688	AKAY351324
KSE0293689	AKAY352190
KSE0293690	AKAY351346
KSE0293691	AKAY353741
KSE0293692	AKAY353731
KSE0293693	AKAY353742
KSE0293694	AKAY351543
KSE0293695	AKAY352100
KSE0293696	AKAY353299
KSE0293697	AKAY353395
KSE0293698	AKAY353029
KSE0293699	AKAY352328
KSE0293700	AKAY351685
KSE0293701	AKAY351686
KSE0293702	AKAY353306
KSE0293703	AKAY351555
KSE0293704	AKAY353096
KSE0293705	AKAY352352
KSE0293706	AKAY352967
KSE0293707	AKAY352961
KSE0293708	AKAY353655
KSE0293709	AKAY353533
KSE0293710	AKAY352510
KSE0293711	AKAY351423
KSE0293712	AKAY353650
KSE0293713	AKAY353763
KSE0293714	AKAY353118
KSE0293715	AKAY352932
KSE0293716	AKAY352940
KSE0293717	AKAY353297
KSE0293718	AKAY352948
KSE0293719	AKAY353035
KSE0293720	AKAY353036
KSE0293721	AKAY353684
KSE0293722	AKAY351849
KSE0293723	AKAY351827
KSE0293724	AKAY351832
KSE0293725	AKAY351614
KSE0293726	AKAY351429
KSE0293727	AKAY353443
KSE0293728	AKAY352756
KSE0293729	AKAY351428
KSE0293730	AKAY352389
KSE0293731	AKAY352390
KSE0293732	AKAY351487
KSE0293733	AKAY351488
KSE0293734	AKAY351579
KSE0293735	AKAY351577
KSE0293736	AKAY353411
KSE0293737	AKAY351566
KSE0293738	AKAY352962
KSE0293739	AKAY351556
KSE0293740	AKAY351575
KSE0293741	AKAY352213
KSE0293742	AKAY353007
KSE0293743	AKAY353540
KSE0293744	AKAY353598
KSE0293745	AKAY352280
KSE0293746	AKAY353566
KSE0293747	AKAY353689
KSE0293748	AKAY353690
KSE0293749	AKAY351530
KSE0293750	AKAY351529
KSE0293751	AKAY353790
KSE0293752	AKAY353789
KSE0293753	AKAY353657
KSE0293754	AKAY352376
KSE0293755	AKAY352370
KSE0293756	AKAY353236
KSE0293757	AKAY352970
KSE0293758	AKAY351805
KSE0293759	AKAY352774
KSE0293760	AKAY353567
KSE0293761	AKAY352935
KSE0293762	AKAY352195
KSE0293763	AKAY352194
KSE0293764	AKAY352192
KSE0293765	AKAY351302
KSE0293766	AKAY352095
KSE0293767	AKAY351318
KSE0293768	AKAY351317
KSE0293769	AKAY351687
KSE0293770	AKAY353238
KSE0293771	AKAY353192
KSE0293772	AKAY352266
KSE0293773	AKAY352566
KSE0293774	AKAY351440
KSE0293775	AKAY352521
KSE0293776	AKAY352191
KSE0293777	AKAY352969
KSE0293778	AKAY352968
KSE0293779	AKAY353554
KSE0293780	AKAY353715
KSE0293781	AKAY353031
KSE0293782	AKAY351495
KSE0293783	AKAY352499
KSE0293784	AKAY352337
KSE0293785	AKAY351624
KSE0293786	AKAY351630
KSE0293787	AKAY351307
KSE0293788	AKAY352956
KSE0293789	AKAY352957
KSE0293790	AKAY351573
KSE0293791	AKAY352193
KSE0293792	AKAY351738
KSE0293793	AKAY351313
KSE0293794	AKAY353095
KSE0293795	AKAY353305
KSE0293796	AKAY351316
KSE0293797	AKAY352873
KSE0293798	AKAY352373
KSE0293799	AKAY352274
KSE0293800	AKAY353158
KSE0293801	AKAY351439
KSE0293802	AKAY351441
KSE0293803	AKAY353037
KSE0293804	AKAY352129
KSE0293805	AKAY353405
KSE0293806	AKAY352959
KSE0293807	AKAY351322
KSE0293808	AKAY353408
KSE0293809	AKAY353034
KSE0293810	AKAY353464
KSE0293811	AKAY352068
KSE0293812	AKAY353119
KSE0293813	AKAY351569
KSE0293814	AKAY351628
KSE0293815	AKAY351567
KSE0293816	AKAY351319
KSE0293817	AKAY352955
KSE0293818	AKAY352944
KSE0293819	AKAY353444
KSE0293820	AKAY352205
KSE0293821	AKAY352210
KSE0293822	AKAY351459
KSE0293823	AKAY353614
KSE0293824	AKAY352810
KSE0293825	AKAY353615
KSE0293826	AKAY353298
KSE0293827	AKAY351859
KSE0293828	AKAY353117
KSE0293829	AKAY351861
KSE0293830	AKAY353414
KSE0293831	AKAY352651
KSE0293832	AKAY352652
KSE0293833	AKAY352196
KSE0293834	AKAY352351
KSE0293835	AKAY351315
KSE0293836	AKAY352748
KSE0293837	AKAY351571
KSE0293838	AKAY352875
KSE0293839	AKAY352357
KSE0293840	AKAY352874
KSE0293841	AKAY353162
KSE0293842	AKAY352663
KSE0293843	AKAY352353
KSE0293844	AKAY352358
KSE0293845	AKAY352907
KSE0293846	AKAY353406
KSE0293847	AKAY352958
KSE0293848	AKAY351323
KSE0293849	AKAY352913
KSE0293850	AKAY353044
KSE0293851	AKAY353461
KSE0293852	AKAY353033
KSE0293853	AKAY351570
KSE0293854	AKAY352278
KSE0293855	AKAY351568
KSE0293856	AKAY351580
KSE0293857	AKAY351492
KSE0293858	AKAY351321
KSE0293859	AKAY352942
KSE0293860	AKAY352933
KSE0293861	AKAY351690
KSE0293862	AKAY352204
KSE0293863	AKAY352720
KSE0293864	AKAY353616
KSE0293865	AKAY351427
KSE0293866	AKAY353604
KSE0293867	AKAY351848
KSE0293868	AKAY351860
KSE0293869	AKAY352654
KSE0293870	AKAY351343
KSE0293871	AKAY352354
KSE0293872	AKAY352197
KSE0293873	AKAY351301
KSE0293874	AKAY352093
KSE0293875	AKAY351640
KSE0293876	AKAY351806
KSE0293877	AKAY352359
KSE0293878	AKAY353237
KSE0293879	AKAY353166
KSE0293880	AKAY351491
KSE0293881	AKAY352067
KSE0293882	AKAY352960
KSE0293883	AKAY352971
KSE0293884	AKAY352908
KSE0293885	AKAY352665
KSE0293886	AKAY352507
KSE0293887	AKAY352491
KSE0293888	AKAY353193
KSE0293889	AKAY353046
KSE0293890	AKAY352066
KSE0293891	AKAY352498
KSE0293892	AKAY352275
KSE0293893	AKAY351623
KSE0293894	AKAY351565
KSE0293895	AKAY351490
